seed,arm,conservation_ok,edge_enrichment,edge_cross_fraction,adjacent_edges,raw_contact,condition_variance,alive,role_balance
6007,place_memory_scrambled,True,0.0509957447,0.557312001,72.6875,0.824714388,1.02007141,56.725,0.469778419
6008,construction_off,True,-0.268831714,0.225934028,58.3875,0.373043021,0,46.4875,0.420777964
6008,local_construction,True,0.0529982073,0.554089601,96.5125,0.859192061,0.922866821,64.175,0.45308756
6008,place_memory_scrambled,True,0.0226277616,0.526234232,81.55,0.759832072,1.0283638,73.6125,0.467788518
6009,construction_off,True,-0.0844122289,0.420849507,78.7875,0.600876114,0,60.05,0.466207108
6009,local_construction,True,-0.150749807,0.356210586,67.9,0.561815444,1.57767181,53.325,0.471630369
6009,place_memory_scrambled,True,0.065289336,0.569790305,71.2875,0.859063062,1.19876251,53.4625,0.46157909
6010,construction_off,True,-0.110321463,0.394266934,75.4625,0.559385274,0,63.4375,0.469388944
6010,local_construction,True,0.00570866478,0.512826567,77.925,0.780958651,2.79395142,54.7875,0.473644957
6010,place_memory_scrambled,True,0.0307684262,0.534224536,60.3375,0.76080922,1.14103317,62.7625,0.460749365
6011,construction_off,True,-0.0192258407,0.486834753,86.775,0.692736068,0,70.6875,0.48024774
6011,local_construction,True,0.0328790914,0.53682003,113.1875,0.84258607,0.741155243,72.675,0.468774426
6011,place_memory_scrambled,True,-0.0440137713,0.461270582,74.0375,0.676873014,0.618292236,69.6625,0.474268758
6012,construction_off,True,-0.0668982647,0.438069542,75.8625,0.664473867,0,65.0625,0.469402652
6012,local_construction,True,0.00403803864,0.508308693,127.35,0.82552877,2.46540146,58.725,0.46229779
6012,place_memory_scrambled,True,-0.0111900636,0.49050445,67.5875,0.703415654,1.26760101,59.0625,0.453257743
6013,construction_off,True,-0.0374493388,0.467817795,82.6625,0.666052189,0,67.325,0.473455626
6013,local_construction,True,0.0321530782,0.535958502,137.3875,0.888838136,2.4637886,71.975,0.468865976
6013,place_memory_scrambled,True,-0.0169744082,0.487924101,76.7625,0.710197312,0.815842438,73.25,0.47308081
6014,construction_off,True,-0.0588941844,0.445778465,68.6375,0.642342919,0,66.0625,0.471920281
6014,local_construction,True,0.0152348721,0.520956806,265.3375,0.856945073,0.655380249,66.075,0.475471485
6014,place_memory_scrambled,True,0.0649207084,0.573240178,44.9625,0.80241075,1.1947525,42.95,0.469110853
6015,construction_off,True,-0.0572645193,0.448873942,72.6375,0.647994888,0,69.4375,0.480197382
6015,local_construction,True,0.0189408197,0.525098796,91.0875,0.793229004,3.48656693,68.9125,0.481350576
6015,place_memory_scrambled,True,0.0590037273,0.563103108,48.0625,0.818412877,1.22200165,47.7875,0.455507232
6016,construction_off,True,-0.145791366,0.358376492,71.6125,0.503407339,0,62.35,0.462684461
6016,local_construction,True,0.0358484232,0.541475908,85.35,0.800590619,1.5228653,64.3375,0.471396051
6016,place_memory_scrambled,True,0.0499596826,0.555081253,57.1375,0.794357087,1.60332336,55.625,0.463461961
6017,construction_off,True,-0.0514423702,0.454364314,67.1125,0.644566011,0,65.1625,0.474751128
6017,local_construction,True,-0.0202495026,0.487308685,72.15,0.728409575,2.35372086,54.7875,0.475887737
6017,place_memory_scrambled,True,0.0566487659,0.558047217,50.6875,0.7658608,1.25475388,53.3875,0.449485874
6018,construction_off,True,0.00366592959,0.509282175,79.1625,0.741290491,0,71.1375,0.477620052
6018,local_construction,True,0.0445386433,0.549781193,125.475,0.941990951,1.3162674,55.6125,0.462605048
6018,place_memory_scrambled,True,-0.085654062,0.417894452,52.9375,0.613505452,0.166741943,53.0625,0.453353116
6019,construction_off,True,-0.223283299,0.284081269,69.0375,0.432841789,0,61.1625,0.48099042
6019,local_construction,True,0.0631942386,0.565579527,96.075,0.880134144,2.02248306,63.6875,0.454048456
